,Symbol,Name,Company Token,Market Cap,Country
1062,tbph,theravance biopharma inc. ordinary shares,['theravance'],720455837.0,cayman islands
1067,tcrr,tcr2 therapeutics inc. common stock,['tcr2'],75152641.0,united states
1069,tcrx,tscan therapeutics inc. common stock,['tscan'],57415511.0,united states
1073,tern,terns pharmaceuticals inc. common stock,['terns'],706103166.0,united states
1074,teva,teva pharmaceutical industries limited american depositary shares,[],9814754948.0,israel
1076,tgtx,tg therapeutics inc. common stock,['tg'],5010009837.0,united states
1078,thrd,third harmonic bio inc. common stock,"['third', 'harmonic']",192432366.0,united states
1079,thrx,theseus pharmaceuticals inc. common stock,['theseus'],519684209.0,united states
1080,thtx,theratechnologies inc. common shares,['theratechnologies'],93921471.0,canada
1081,til,instil bio inc. common stock,['instil'],86138378.0,united states
1085,tlry,tilray brands inc. common stock ,"['tilray', 'brands']",1233623665.0,canada
1086,tlsa,tiziana life sciences ltd. common shares,['tiziana'],79772639.0,united kingdom
1091,tngx,tango therapeutics inc.,"['tango', '.']",306088575.0,united states
1093,tnxp,tonix pharmaceuticals holding corp. common stock,['tonix'],32591493.0,united states
1096,tovx,theriva biologics inc. common stock,"['theriva', 'biologics']",11153995.0,united states
1097,tpst,tempest therapeutics inc. common stock,['tempest'],22495365.0,united states
1098,trda,entrada therapeutics inc. common stock,['entrada'],396752964.0,united states
1102,trvi,trevi therapeutics inc. common stock,['trevi'],193945660.0,united states
1103,trvn,trevena inc. common stock,['trevena'],5744046.0,united states
1104,tsha,taysha gene therapies inc. common stock,"['taysha', 'gene']",44570986.0,united states
1105,tsvt,2seventy bio inc. common stock ,['2seventy'],572665082.0,united states
1108,tvtx,travere therapeutics inc. common stock,['travere'],1246757030.0,united states
1111,txmd,therapeuticsmd inc. common stock,['therapeuticsmd'],38320167.0,united states
1112,tyra,tyra biosciences inc. common stock,['tyra'],524372754.0,united states
1115,uncy,unicycive therapeutics inc. common stock,['unicycive'],20718017.0,united states
1116,upc,universe pharmaceuticals inc. ordinary shares,['universe'],11316525.0,china
1117,urgn,urogen pharma ltd. ordinary shares,['urogen'],275426122.0,israel
1119,uthr,united therapeutics corporation common stock,['united'],9924296947.0,united states
1121,vacc,vaccitech plc american depositary shares,['vaccitech'],88202084.0,united kingdom
1125,vaxx,vaxxinity inc. class a common stock,['vaxxinity'],284272162.0,united states
1127,vblt,vascular biogenics ltd. ordinary shares,"['vascular', 'biogenics']",13608248.0,israel
1129,vcnx,vaccinex inc. common stock,['vaccinex'],19155844.0,united states
1130,vcyt,veracyte inc. common stock,['veracyte'],1687579986.0,united states
1132,vera,vera therapeutics inc. class a common stock,['vera'],329302651.0,united states
1134,veru,veru inc. common stock,['veru'],117059651.0,united states
1137,vigl,vigil neuroscience inc. common stock,"['vigil', 'neuroscience']",352058009.0,united states
1139,vir,vir biotechnology inc. common stock,['vir'],3259219986.0,united states
1140,viri,virios therapeutics inc. common stock,['virios'],18513694.0,united states
1141,virx,viracta therapeutics inc. common stock,['viracta'],38795044.0,united states
1142,vktx,viking therapeutics inc. common stock,['viking'],2247282411.0,united states
1143,vnda,vanda pharmaceuticals inc. common stock,['vanda'],398084418.0,united states
1145,vor,vor biopharma inc. common stock,['vor'],257699357.0,united states
1148,vrca,verrica pharmaceuticals inc. common stock,['verrica'],277479111.0,united states
1149,vrdn,viridian therapeutics inc. common stock,['viridian'],1133149376.0,united states
1151,vrna,verona pharma plc american depositary share,['verona'],1704957577.0,united kingdom
1153,vstm,verastem inc. common stock,['verastem'],86122759.0,united states
1154,vtgn,vistagen therapeutics inc. common stock,['vistagen'],26889422.0,united states
1155,vtvt,vtv therapeutics inc. class a common stock,['vtv'],61479376.0,united states
1159,vygr,voyager therapeutics inc. common stock,['voyager'],345914018.0,united states
1160,vyne,vyne therapeutics inc. common stock,['vyne'],25951289.0,united states
1161,vynt,vyant bio inc. common stock,['vyant'],1817009.0,united states
1165,wve,wave life sciences ltd. ordinary shares,['wave'],391928852.0,singapore
1167,xbio,xenetic biosciences inc. common stock,['xenetic'],2738859.0,united states
1168,xbiow,xenetic biosciences inc. warrants,['xenetic'],0.0,united states
1170,xcur,exicure inc. common stock,['exicure'],8868718.0,united states
1172,xers,xeris biopharma holdings inc. common stock,['xeris'],330865531.0,united states
1175,xlo,xilio therapeutics inc. common stock,['xilio'],84334539.0,united states
1176,xncr,xencor inc. common stock,['xencor'],1650827090.0,united states
1177,xoma,xoma corporation common stock,['xoma'],206755863.0,united states
1178,xomao,xoma corporation depositary shares rep series b 8.375% cumulative preferred stock,"['xoma', 'rep', '8.375', '%']",0.0,united states
1179,xomap,xoma corporation 8.625% series a cumulative perpetual preferred stock,"['xoma', '8.625', '%']",0.0,united states
1181,xrtx,xortx therapeutics inc. common stock,['xortx'],11880389.0,canada
1182,xtlb,xtl biopharmaceuticals ltd. american depositary shares,['xtl'],6675100.0,israel
1185,ycbd,cbdmd inc. common stock,['cbdmd'],2935065.0,united states
1186,ymab,y-mabs therapeutics inc. common stock,['y-mabs'],305089202.0,united states
1188,zivo,zivo bioscience inc. common stock,['zivo'],27411211.0,united states
1189,zivow,zivo bioscience inc. warrants,['zivo'],0.0,united states
1190,zlab,zai lab limited american depositary shares,"['zai', 'lab']",2821305377.0,china
1195,zvra,zevra therapeutics inc. common stock,['zevra'],169938837.0,united states
1196,zvsa,zyversa therapeutics inc. common stock,['zyversa'],5250796.0,united states
1198,zyne,zynerba pharmaceuticals inc. common stock,['zynerba'],19776307.0,united states
